club_name,club_id,club_slug
BSC YB U21,5508,bsc-young-boys-u21
FC Basel U21,5299,fc-basel-1893-u21
FC Bavois,8650,fc-bavois
FC Biel-Bienne,2155,fc-biel-bienne
FC Breitenrain,17574,fc-breitenrain
FC Bulle,2053,fc-bulle
FC Kreuzlingen,2772,fc-kreuzlingen
FC Lugano II,18051,fc-lugano-u21
FC Paradiso,48428,fc-paradiso
FC Schaffhausen,1277,fc-schaffhausen
FC Zürich U21,5501,fc-zurich-u21
Grand-Saconnex,49621,fc-grand-saconnex
Lausanne II,15446,team-vaud-u21
Luzern U21,5494,fc-luzern-u21
SC Brühl SG,13544,sc-bruhl-sg
SC Cham,5504,sc-cham
SC Kriens,2074,sc-kriens
Vevey-Sports,3530,fc-vevey-united
